S,I,R
18386,0,0
8165,0,0
11164,0,0
3038,0,0
44890,0,0
19234,0,0
83240,0,0
107735,3,0
16700,0,0
19397,0,0
153159,0,0
12873,0,0
19109,0,0
15457,0,0
39627,0,0
79608,0,0
22383,0,0
24936,0,0
6189,0,0
54666,0,0
10803,0,0
119992,0,0
67580,0,0
13391,1,0
289430,0,0
10907,0,0
24789,0,0
258771,2,0
128331,0,0
2834,0,0
292256,0,0
6618,0,0
760133,8,0
43273,0,0
45600,0,0
156714,0,0
17270,0,0
148509,0,0
12404,0,0
22372,0,0
16116,0,0
26108,0,0
26404,0,0
759292,5,0
20605,0,0
13390,0,0
87956,0,0
146343,0,0
10190,0,0
4006,0,0
64296,0,0
19194,0,0
22646,0,0
10654,0,0
26188,0,0
114417,4,0
98497,1,0
244252,0,0
23349,0,0
1063929,8,0
31369,0,0
2971,0,0
85292,0,0
57961,2,0
24633,0,0
18324,0,0
936248,2,0
45328,0,0
204441,0,0
8457,0,0
29792,0,0
35236,0,0
26205,0,0
11923,0,0
234561,0,0
157863,0,0
9416,0,0
72977,0,0
14219,0,0
15115,0,0
15362,0,0
8676,0,0
9643,0,0
28735,0,0
19077,0,0
10423,0,0
47546,0,0
29991,1,0
61435,0,0
7921,0,0
19559,0,0
117405,1,0
33610,0,0
21312,0,0
14378,0,0
12947,0,0
29880,0,0
8359,0,0
21167,0,0
5718,0,0
21863,0,0
27578,0,0
9172,0,0
19276,0,0
40096,0,0
195769,0,0
111744,0,0
40280,0,0
15259,0,0
168667,0,0
27546,0,0
32591,0,0
19465,0,0
18962,0,0
42612,1,0
11137,0,0
22119,0,0
2299,0,0
17137,0,0
6778,0,0
202518,0,0
90896,0,0
5257,0,0
13966,0,0
8090,0,0
66703,0,0
25925,0,0
6621,0,0
29524,0,0
6195,0,0
1537,0,0
25286,0,0
8020,0,0
15860,0,0
8531,0,0
44451,0,0
40644,0,0
26830,0,0
12037,0,0
6901,0,0
69922,0,0
7985,0,0
8120,0,0
24511,0,0
26320,0,0
69761,0,0
94593,0,0
35734,0,0
5254,0,0
20374,0,0
29927,0,0
2607,0,0
7855,0,0
30798,0,0
104628,0,0
8635,0,0
9777,0,0
8954,0,0
20247,0,0
